variant,image_auc,image_ap,pixel_auc_paclip,pixel_ap_paclip,pixel_auc_ours,pixel_ap_ours,pixel_aupro,hit@1_valid,hit@1_strict,hit@3_valid,hit@3_strict,hit@10_valid,hit@10_strict,gap_sigma,peak_gap_z,lesion_z,background_z,acc_image_only,acc_lesion_only,acc_fused,acc_text_fused,alpha_fuse,alpha_pt,lam_pt,oof_img_auc,val_acc,auc_heat_alone,auc_text_alone,w_heat,w_text,w_adapt,n_valid,n_total,tag,edge_warning,pixel_auc_paclip_fixed,pixel_ap_paclip_fixed,pixel_auc_ours_fixed,pixel_ap_ours_fixed,n_pixel_slices,hit@1_chance,hit@3_chance,hit@10_chance,lesion_area_mean
text-adapter,0.896472,0.977515,0.983267,0.769834,0.985568,0.757948,0.878205,0.909703,0.878049,0.97911,0.945041,0.993598,0.959024,2.529915,0.537933,2.431597,-0.098318,82.772541,nan,82.772541,82.772541,0.05,0.0,0.0,0.838578,nan,0.896472,0.5,0.05,0.95,0.0,2968,3075,text-adapter,0,0.983109,0.76776,0.985446,0.756435,3075,0.038548,0.115645,0.38521,0.039938
text-adapter proto-only,,,0.960726,0.522529,0.964366,0.568442,0.783207,0.544137,0.525203,0.815364,0.786992,0.962601,0.929106,1.454608,0.005114,1.396396,-0.058211,,,,,,,,,,,,,,,2968,3075,,,0.960749,0.521191,0.964469,0.568245,3075,0.038548,0.115645,0.38521,0.039938
text-adapter text-only,,,0.980142,0.754396,0.984979,0.773441,0.852779,0.901617,0.870244,0.976415,0.942439,0.992588,0.958049,2.985543,0.836632,2.870556,-0.114987,,,,,,,,,,,,,,,2968,3075,,,0.979933,0.751846,0.984869,0.771902,3075,0.038548,0.115645,0.38521,0.039938
text-adapter mem-only,,,0.962093,0.521653,0.951398,0.413164,0.725717,0.646563,0.624065,0.896563,0.865366,0.981469,0.947317,1.601351,0.063822,1.538249,-0.063102,,,,,,,,,,,,,,,2968,3075,,,0.961978,0.520113,0.951502,0.413311,3075,0.038548,0.115645,0.38521,0.039938
text-adapter fused,,,0.983267,0.769834,0.985568,0.757948,0.878205,0.909703,0.878049,0.97911,0.945041,0.993598,0.959024,2.529915,0.537933,2.431597,-0.098318,,,,,,,,,,,,,,,2968,3075,,,0.983109,0.76776,0.985446,0.756435,3075,0.038548,0.115645,0.38521,0.039938
