variant,image_auc,image_ap,pixel_auc_paclip,pixel_ap_paclip,pixel_auc_ours,pixel_ap_ours,pixel_aupro,hit@1_valid,hit@1_strict,hit@3_valid,hit@3_strict,hit@10_valid,hit@10_strict,gap_sigma,peak_gap_z,lesion_z,background_z,acc_image_only,acc_lesion_only,acc_fused,acc_text_fused,alpha_fuse,alpha_pt,lam_pt,oof_img_auc,val_acc,auc_heat_alone,auc_text_alone,auc_adapt_alone,auc_3signal,w_heat,w_text,w_adapt,n_valid,n_total,tag,edge_warning,pixel_auc_paclip_fixed,pixel_ap_paclip_fixed,pixel_auc_ours_fixed,pixel_ap_ours_fixed,n_pixel_slices,hit@1_chance,hit@3_chance,hit@10_chance,lesion_area_mean
Stage1 (冻结原型),0.953849,0.99053,0.982837,0.76533,0.985238,0.753957,0.875334,0.905997,0.874472,0.9781,0.944065,0.993261,0.958699,2.532034,0.543063,2.433606,-0.098428,82.772541,82.772541,82.772541,82.772541,0.05,50.0,0.0,0.943473,9.513742,0.894313,0.5,0.923408,0.953849,0.5,0.2,0.3,2968,3075,Stage1 (冻结原型),1,0.982647,0.763088,0.985096,0.752302,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) proto-only,,,0.962412,0.536941,0.966283,0.581917,0.786554,0.562331,0.542764,0.831536,0.802602,0.965633,0.932033,1.466214,0.013333,1.407533,-0.058681,,,,,,,,,,,,,,,,,2968,3075,,,0.962433,0.535812,0.966378,0.58194,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) text-only,,,0.979567,0.750171,0.984551,0.770031,0.848134,0.899933,0.868618,0.976078,0.942114,0.992588,0.958049,2.984754,0.842943,2.869755,-0.114999,,,,,,,,,,,,,,,,,2968,3075,,,0.979345,0.747602,0.984438,0.76856,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) mem-only,,,0.962407,0.529553,0.954353,0.423904,0.736533,0.654987,0.632195,0.883423,0.852683,0.9781,0.944065,1.612084,0.075305,1.548563,-0.063521,,,,,,,,,,,,,,,,,2968,3075,,,0.962267,0.527873,0.954469,0.424256,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) fused,,,0.982837,0.76533,0.985238,0.753957,0.875334,0.905997,0.874472,0.9781,0.944065,0.993261,0.958699,2.532034,0.543063,2.433606,-0.098428,,,,,,,,,,,,,,,,,2968,3075,,,0.982647,0.763088,0.985096,0.752302,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型),0.95669,0.991035,0.98252,0.757058,0.984437,0.748891,0.882504,0.93093,0.898537,0.980121,0.946016,0.995283,0.96065,1.973425,0.372638,1.896198,-0.077227,82.772541,82.772541,82.772541,82.772541,0.05,0.0,0.0,0.937646,9.302326,0.870148,0.5,0.921434,0.95669,0.3,0.3,0.4,2968,3075,Stage2 (解冻原型),1,0.982419,0.755682,0.984337,0.747717,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) proto-only,,,0.982883,0.782778,0.989386,0.831491,0.885756,0.953504,0.920325,0.982143,0.947968,0.993935,0.95935,2.850466,1.087643,2.740518,-0.109947,,,,,,,,,,,,,,,,,2968,3075,,,0.982758,0.781092,0.989328,0.830491,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) text-only,,,0.979567,0.750171,0.984551,0.770031,0.848134,0.899933,0.868618,0.976078,0.942114,0.992588,0.958049,2.984754,0.842943,2.869755,-0.114999,,,,,,,,,,,,,,,,,2968,3075,,,0.979345,0.747602,0.984438,0.76856,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) mem-only,,,0.962407,0.529553,0.954353,0.423904,0.736533,0.654987,0.632195,0.883423,0.852683,0.9781,0.944065,1.612084,0.075305,1.548563,-0.063521,,,,,,,,,,,,,,,,,2968,3075,,,0.962267,0.527873,0.954469,0.424256,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) fused,,,0.98252,0.757058,0.984437,0.748891,0.882504,0.93093,0.898537,0.980121,0.946016,0.995283,0.96065,1.973425,0.372638,1.896198,-0.077227,,,,,,,,,,,,,,,,,2968,3075,,,0.982419,0.755682,0.984337,0.747717,3075,0.038548,0.115645,0.38521,0.039938
