variant,image_auc,image_ap,pixel_auc_paclip,pixel_ap_paclip,pixel_auc_ours,pixel_ap_ours,pixel_aupro,hit@1_valid,hit@1_strict,hit@3_valid,hit@3_strict,hit@10_valid,hit@10_strict,gap_sigma,peak_gap_z,lesion_z,background_z,acc_image_only,acc_lesion_only,acc_fused,acc_text_fused,alpha_fuse,alpha_pt,lam_pt,oof_img_auc,val_acc,auc_heat_alone,auc_text_alone,w_heat,w_text,w_adapt,n_valid,n_total,tag,edge_warning,pixel_auc_paclip_fixed,pixel_ap_paclip_fixed,pixel_auc_ours_fixed,pixel_ap_ours_fixed,n_pixel_slices,hit@1_chance,hit@3_chance,hit@10_chance,lesion_area_mean
text-adapter,0.846284,0.963727,0.981919,0.741309,0.982953,0.720782,0.873367,0.900943,0.869594,0.975404,0.941463,0.992588,0.958049,2.100771,0.346864,2.018881,-0.08189,82.772541,nan,82.772541,82.772541,0.05,0.0,0.0,0.764569,nan,0.846284,0.5,0.05,0.95,0.0,2968,3075,text-adapter,0,0.981732,0.738713,0.982784,0.718494,3075,0.038548,0.115645,0.38521,0.039938
text-adapter proto-only,,,0.959458,0.504885,0.96334,0.550385,0.777905,0.515162,0.497236,0.800876,0.773008,0.960243,0.926829,1.425177,-0.004258,1.368237,-0.05694,,,,,,,,,,,,,,,2968,3075,,,0.959469,0.503629,0.963418,0.550128,3075,0.038548,0.115645,0.38521,0.039938
text-adapter text-only,,,0.97935,0.74925,0.984418,0.769071,0.846218,0.900606,0.869268,0.976415,0.942439,0.992251,0.957724,3.011474,0.862103,2.895605,-0.115869,,,,,,,,,,,,,,,2968,3075,,,0.979128,0.746633,0.984304,0.767531,3075,0.038548,0.115645,0.38521,0.039938
text-adapter mem-only,,,0.96062,0.518682,0.952994,0.410004,0.73326,0.670822,0.64748,0.898248,0.866992,0.980458,0.946342,1.608792,0.077096,1.545675,-0.063116,,,,,,,,,,,,,,,2968,3075,,,0.960382,0.516217,0.95303,0.40926,3075,0.038548,0.115645,0.38521,0.039938
text-adapter fused,,,0.981919,0.741309,0.982953,0.720782,0.873367,0.900943,0.869594,0.975404,0.941463,0.992588,0.958049,2.100771,0.346864,2.018881,-0.08189,,,,,,,,,,,,,,,2968,3075,,,0.981732,0.738713,0.982784,0.718494,3075,0.038548,0.115645,0.38521,0.039938
