variant,image_auc,image_ap,pixel_auc_paclip,pixel_ap_paclip,pixel_auc_ours,pixel_ap_ours,pixel_aupro,hit@1_valid,hit@1_strict,hit@3_valid,hit@3_strict,hit@10_valid,hit@10_strict,gap_sigma,peak_gap_z,lesion_z,background_z,acc_image_only,acc_lesion_only,acc_fused,acc_text_fused,alpha_fuse,alpha_pt,lam_pt,oof_img_auc,val_acc,auc_heat_alone,auc_text_alone,auc_adapt_alone,auc_3signal,w_heat,w_text,w_adapt,n_valid,n_total,tag,edge_warning,pixel_auc_paclip_fixed,pixel_ap_paclip_fixed,pixel_auc_ours_fixed,pixel_ap_ours_fixed,n_pixel_slices,hit@1_chance,hit@3_chance,hit@10_chance,lesion_area_mean
Stage1 (冻结原型),0.952921,0.9901,0.982237,0.762089,0.985057,0.754468,0.873226,0.903302,0.87187,0.977763,0.94374,0.991914,0.957398,2.528882,0.53419,2.430581,-0.0983,82.772541,82.772541,82.772541,82.772541,0.05,30.0,0.0,0.931235,9.513742,0.898598,0.5,0.919284,0.952921,0.4,0.3,0.3,2968,3075,Stage1 (冻结原型),1,0.982051,0.759662,0.984922,0.752617,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) proto-only,,,0.959458,0.504885,0.96334,0.550385,0.777905,0.515162,0.497236,0.800876,0.773008,0.960243,0.926829,1.425177,-0.004258,1.368237,-0.05694,,,,,,,,,,,,,,,,,2968,3075,,,0.959469,0.503629,0.963418,0.550128,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) text-only,,,0.97935,0.74925,0.984418,0.769071,0.846218,0.900606,0.869268,0.976415,0.942439,0.992251,0.957724,3.011474,0.862103,2.895605,-0.115869,,,,,,,,,,,,,,,,,2968,3075,,,0.979128,0.746633,0.984304,0.767531,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) mem-only,,,0.96062,0.518682,0.952994,0.410004,0.73326,0.670822,0.64748,0.898248,0.866992,0.980458,0.946342,1.608792,0.077096,1.545675,-0.063116,,,,,,,,,,,,,,,,,2968,3075,,,0.960382,0.516217,0.95303,0.40926,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) fused,,,0.982237,0.762089,0.985057,0.754468,0.873226,0.903302,0.87187,0.977763,0.94374,0.991914,0.957398,2.528882,0.53419,2.430581,-0.0983,,,,,,,,,,,,,,,,,2968,3075,,,0.982051,0.759662,0.984922,0.752617,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型),0.961804,0.992203,0.984789,0.792552,0.987785,0.796431,0.893801,0.953504,0.920325,0.981469,0.947317,0.994609,0.96,2.307662,0.642884,2.217988,-0.089674,82.772541,82.772541,82.772541,82.772541,0.05,0.0,0.0,0.943473,9.302326,0.935791,0.5,0.920088,0.961804,0.5,0.2,0.3,2968,3075,Stage2 (解冻原型),1,0.984677,0.791064,0.987695,0.795234,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) proto-only,,,0.982779,0.782438,0.989305,0.830825,0.885211,0.950809,0.917724,0.981469,0.947317,0.993935,0.95935,2.847966,1.088552,2.738153,-0.109813,,,,,,,,,,,,,,,,,2968,3075,,,0.982659,0.780741,0.989251,0.829792,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) text-only,,,0.97935,0.74925,0.984418,0.769071,0.846218,0.900606,0.869268,0.976415,0.942439,0.992251,0.957724,3.011474,0.862103,2.895605,-0.115869,,,,,,,,,,,,,,,,,2968,3075,,,0.979128,0.746633,0.984304,0.767531,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) mem-only,,,0.96062,0.518682,0.952994,0.410004,0.73326,0.670822,0.64748,0.898248,0.866992,0.980458,0.946342,1.608792,0.077096,1.545675,-0.063116,,,,,,,,,,,,,,,,,2968,3075,,,0.960382,0.516217,0.95303,0.40926,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) fused,,,0.984789,0.792552,0.987785,0.796431,0.893801,0.953504,0.920325,0.981469,0.947317,0.994609,0.96,2.307662,0.642884,2.217988,-0.089674,,,,,,,,,,,,,,,,,2968,3075,,,0.984677,0.791064,0.987695,0.795234,3075,0.038548,0.115645,0.38521,0.039938
