variant,image_auc,image_ap,pixel_auc_paclip,pixel_ap_paclip,pixel_auc_ours,pixel_ap_ours,pixel_aupro,hit@1_valid,hit@1_strict,hit@3_valid,hit@3_strict,hit@10_valid,hit@10_strict,gap_sigma,peak_gap_z,lesion_z,background_z,acc_image_only,acc_lesion_only,acc_fused,acc_text_fused,alpha_fuse,alpha_pt,lam_pt,oof_img_auc,val_acc,auc_heat_alone,auc_text_alone,w_heat,w_text,w_adapt,n_valid,n_total,n_seeds,tag,alpha_pt_std,lam_pt_std,edge_warning,acc_image_only_std,acc_fused_std,acc_text_fused_std,w_heat_std,w_text_std,w_adapt_std,image_auc_std,image_ap_std,alpha_fuse_std,oof_img_auc_std,auc_heat_alone_std,auc_text_alone_std,pixel_auc_paclip_std,pixel_ap_paclip_std,pixel_auc_paclip_fixed,pixel_auc_paclip_fixed_std,pixel_ap_paclip_fixed,pixel_ap_paclip_fixed_std,pixel_auc_ours_std,pixel_ap_ours_std,pixel_auc_ours_fixed,pixel_auc_ours_fixed_std,pixel_ap_ours_fixed,pixel_ap_ours_fixed_std,pixel_aupro_std,n_pixel_slices,n_pixel_slices_std,hit@1_valid_std,hit@1_strict_std,hit@1_chance,hit@1_chance_std,hit@3_valid_std,hit@3_strict_std,hit@3_chance,hit@3_chance_std,hit@10_valid_std,hit@10_strict_std,hit@10_chance,hit@10_chance_std,n_valid_std,n_total_std,lesion_area_mean,lesion_area_mean_std,lesion_z_std,background_z_std,gap_sigma_std,peak_gap_z_std
text-adapter,0.873064,0.97084,0.98266,0.757316,0.984467,0.741462,0.87594,0.903976,0.87252,0.977426,0.943415,0.993396,0.958829,2.356847,0.458492,2.265129,-0.091718,82.772541,nan,82.772541,82.772541,0.05,0.0,0.0,0.81317,nan,0.873082,0.499967,0.05,0.95,0.0,2968.0,3075.0,5,text-adapter,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.032909,0.00939,0.0,0.036991,0.032927,7.3e-05,0.000632,0.014436,0.982492,0.000637,0.755093,0.014559,0.001257,0.018438,0.984328,0.001273,0.739696,0.018681,0.001956,3075.0,0.0,0.005043,0.004867,0.038548,0.0,0.001369,0.001321,0.115645,0.0,0.000511,0.000493,0.38521,0.0,0.0,0.0,0.039938,0.0,0.233145,0.009198,0.242343,0.115738
text-adapter proto-only,,,0.961352,0.525179,0.964638,0.566229,0.781716,0.54279,0.523902,0.819879,0.79135,0.963275,0.929756,1.439554,0.005473,1.381978,-0.057576,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,0.001365,0.014822,0.961351,0.001369,0.523963,0.014937,0.001737,0.016272,0.96472,0.001755,0.56615,0.016353,0.007294,3075.0,0.0,0.019462,0.018785,0.038548,0.0,0.012637,0.012197,0.115645,0.0,0.002464,0.002379,0.38521,0.0,0.0,0.0,0.039938,0.0,0.029376,0.001256,0.030632,0.007082
text-adapter text-only,,,0.979744,0.751817,0.984661,0.770633,0.849049,0.899663,0.868358,0.975943,0.941984,0.992453,0.957919,2.993542,0.844168,2.878257,-0.115285,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,0.0003,0.002079,0.979528,0.000306,0.749252,0.002105,0.000223,0.00189,0.984549,0.000225,0.769126,0.001889,0.002403,3075.0,0.0,0.001897,0.001831,0.038548,0.0,0.000511,0.000493,0.115645,0.0,0.000185,0.000178,0.38521,0.0,0.0,0.0,0.039938,0.0,0.010426,0.000358,0.010783,0.01056
text-adapter mem-only,,,0.961768,0.521498,0.95226,0.412448,0.730143,0.658423,0.635512,0.892925,0.861854,0.979987,0.945886,1.606639,0.071389,1.543442,-0.063197,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,0.001368,0.012421,0.961633,0.00141,0.519793,0.012531,0.002516,0.018092,0.952401,0.0025,0.412528,0.018211,0.005257,3075.0,0.0,0.025736,0.024841,0.038548,0.0,0.012585,0.012147,0.115645,0.0,0.001792,0.00173,0.38521,0.0,0.0,0.0,0.039938,0.0,0.009968,0.00033,0.010275,0.013334
text-adapter fused,,,0.98266,0.757316,0.984467,0.741462,0.87594,0.903976,0.87252,0.977426,0.943415,0.993396,0.958829,2.356847,0.458492,2.265129,-0.091718,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,0.000632,0.014436,0.982492,0.000637,0.755093,0.014559,0.001257,0.018438,0.984328,0.001273,0.739696,0.018681,0.001956,3075.0,0.0,0.005043,0.004867,0.038548,0.0,0.001369,0.001321,0.115645,0.0,0.000511,0.000493,0.38521,0.0,0.0,0.0,0.039938,0.0,0.233145,0.009198,0.242343,0.115738
