variant,image_auc,image_ap,pixel_auc_paclip,pixel_ap_paclip,pixel_auc_ours,pixel_ap_ours,pixel_aupro,hit@1_valid,hit@1_strict,hit@3_valid,hit@3_strict,hit@10_valid,hit@10_strict,gap_sigma,peak_gap_z,lesion_z,background_z,acc_image_only,acc_lesion_only,acc_fused,acc_text_fused,alpha_fuse,alpha_pt,lam_pt,oof_img_auc,val_acc,auc_heat_alone,auc_text_alone,auc_adapt_alone,auc_3signal,w_heat,w_text,w_adapt,n_valid,n_total,tag,edge_warning,pixel_auc_paclip_fixed,pixel_ap_paclip_fixed,pixel_auc_ours_fixed,pixel_ap_ours_fixed,n_pixel_slices,hit@1_chance,hit@3_chance,hit@10_chance,lesion_area_mean
Stage1 (冻结原型),0.959268,0.991627,0.983208,0.76821,0.985325,0.752636,0.877573,0.906334,0.874797,0.977426,0.943415,0.993935,0.95935,2.53929,0.546942,2.440734,-0.098556,82.772541,82.772541,82.826376,82.772541,0.05,50.0,0.0,0.93648,11.41649,0.899257,0.499837,0.921201,0.959268,0.5,0.1,0.4,2968,3075,Stage1 (冻结原型),1,0.983051,0.766106,0.985205,0.751024,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) proto-only,,,0.961283,0.51939,0.962651,0.548544,0.77125,0.533019,0.514472,0.820755,0.792195,0.961927,0.928455,1.392453,0.002031,1.336783,-0.05567,,,,,,,,,,,,,,,,,2968,3075,,,0.961203,0.518024,0.962691,0.548521,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) text-only,,,0.979836,0.752681,0.984568,0.769009,0.848651,0.896563,0.865366,0.975404,0.941463,0.992251,0.957724,2.993884,0.836114,2.878572,-0.115312,,,,,,,,,,,,,,,,,2968,3075,,,0.979621,0.750142,0.984453,0.767492,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) mem-only,,,0.963539,0.535076,0.954254,0.431293,0.73131,0.69407,0.669919,0.90903,0.877398,0.981806,0.947642,1.618851,0.087738,1.555339,-0.063512,,,,,,,,,,,,,,,,,2968,3075,,,0.963477,0.533785,0.954493,0.43173,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) fused,,,0.983208,0.76821,0.985325,0.752636,0.877573,0.906334,0.874797,0.977426,0.943415,0.993935,0.95935,2.53929,0.546942,2.440734,-0.098556,,,,,,,,,,,,,,,,,2968,3075,,,0.983051,0.766106,0.985205,0.751024,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型),0.964704,0.992859,0.985481,0.796386,0.98812,0.798607,0.894593,0.953504,0.920325,0.982817,0.948618,0.994609,0.96,2.310475,0.664011,2.220724,-0.089751,82.772541,82.772541,82.772541,82.772541,0.05,0.0,0.0,0.950466,9.302326,0.937699,0.499837,0.918494,0.964704,0.5,0.2,0.3,2968,3075,Stage2 (解冻原型),1,0.985369,0.794986,0.988032,0.797647,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) proto-only,,,0.983278,0.783927,0.989227,0.829699,0.881921,0.954515,0.921301,0.981469,0.947317,0.993261,0.958699,2.842656,1.133916,2.733097,-0.10956,,,,,,,,,,,,,,,,,2968,3075,,,0.983103,0.78199,0.989142,0.828611,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) text-only,,,0.979836,0.752681,0.984568,0.769009,0.848651,0.896563,0.865366,0.975404,0.941463,0.992251,0.957724,2.993884,0.836114,2.878572,-0.115312,,,,,,,,,,,,,,,,,2968,3075,,,0.979621,0.750142,0.984453,0.767492,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) mem-only,,,0.963539,0.535076,0.954254,0.431293,0.73131,0.69407,0.669919,0.90903,0.877398,0.981806,0.947642,1.618851,0.087738,1.555339,-0.063512,,,,,,,,,,,,,,,,,2968,3075,,,0.963477,0.533785,0.954493,0.43173,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) fused,,,0.985481,0.796386,0.98812,0.798607,0.894593,0.953504,0.920325,0.982817,0.948618,0.994609,0.96,2.310475,0.664011,2.220724,-0.089751,,,,,,,,,,,,,,,,,2968,3075,,,0.985369,0.794986,0.988032,0.797647,3075,0.038548,0.115645,0.38521,0.039938
