variant,image_auc,image_ap,pixel_auc_paclip,pixel_ap_paclip,pixel_auc_ours,pixel_ap_ours,pixel_aupro,hit@1_valid,hit@1_strict,hit@3_valid,hit@3_strict,hit@10_valid,hit@10_strict,gap_sigma,peak_gap_z,lesion_z,background_z,acc_image_only,acc_lesion_only,acc_fused,acc_text_fused,alpha_fuse,alpha_pt,lam_pt,oof_img_auc,val_acc,auc_heat_alone,auc_text_alone,auc_adapt_alone,auc_3signal,w_heat,w_text,w_adapt,n_valid,n_total,tag,edge_warning,pixel_auc_paclip_fixed,pixel_ap_paclip_fixed,pixel_auc_ours_fixed,pixel_ap_ours_fixed,n_pixel_slices,hit@1_chance,hit@3_chance,hit@10_chance,lesion_area_mean
Stage1 (冻结原型),0.955134,0.990774,0.983267,0.769834,0.985568,0.757948,0.878205,0.909703,0.878049,0.97911,0.945041,0.993598,0.959024,2.529915,0.537933,2.431597,-0.098318,82.772541,82.772541,82.772541,82.772541,0.05,50.0,0.0,0.937063,10.147991,0.896472,0.5,0.924139,0.955134,0.4,0.3,0.3,2968,3075,Stage1 (冻结原型),1,0.983109,0.76776,0.985446,0.756435,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) proto-only,,,0.960726,0.52253,0.964366,0.568442,0.783208,0.544137,0.525203,0.815364,0.786992,0.962601,0.929106,1.454608,0.005114,1.396396,-0.058211,,,,,,,,,,,,,,,,,2968,3075,,,0.960749,0.521191,0.964469,0.568245,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) text-only,,,0.980142,0.754396,0.984979,0.773441,0.852779,0.901617,0.870244,0.976415,0.942439,0.992588,0.958049,2.985543,0.836632,2.870556,-0.114987,,,,,,,,,,,,,,,,,2968,3075,,,0.979933,0.751846,0.984869,0.771902,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) mem-only,,,0.962093,0.521653,0.951398,0.413164,0.725717,0.646563,0.624065,0.896563,0.865366,0.981469,0.947317,1.601351,0.063822,1.538249,-0.063102,,,,,,,,,,,,,,,,,2968,3075,,,0.961978,0.520113,0.951502,0.413311,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) fused,,,0.983267,0.769834,0.985568,0.757948,0.878205,0.909703,0.878049,0.97911,0.945041,0.993598,0.959024,2.529915,0.537933,2.431597,-0.098318,,,,,,,,,,,,,,,,,2968,3075,,,0.983109,0.76776,0.985446,0.756435,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型),0.956116,0.991084,0.98257,0.760132,0.984579,0.753295,0.881979,0.933288,0.900813,0.979447,0.945366,0.993935,0.95935,1.96935,0.370145,1.892279,-0.077071,82.772541,82.772541,82.772541,82.772541,0.05,0.0,0.0,0.928904,9.302326,0.871805,0.5,0.922446,0.956116,0.1,0.8,0.1,2968,3075,Stage2 (解冻原型),1,0.982511,0.759,0.98451,0.752416,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) proto-only,,,0.982688,0.781647,0.989418,0.832056,0.886603,0.951819,0.918699,0.981132,0.946992,0.993598,0.959024,2.862596,1.093624,2.75217,-0.110426,,,,,,,,,,,,,,,,,2968,3075,,,0.982569,0.779944,0.989366,0.831038,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) text-only,,,0.980142,0.754396,0.984979,0.773441,0.852779,0.901617,0.870244,0.976415,0.942439,0.992588,0.958049,2.985543,0.836632,2.870556,-0.114987,,,,,,,,,,,,,,,,,2968,3075,,,0.979933,0.751846,0.984869,0.771902,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) mem-only,,,0.962093,0.521653,0.951398,0.413164,0.725717,0.646563,0.624065,0.896563,0.865366,0.981469,0.947317,1.601351,0.063822,1.538249,-0.063102,,,,,,,,,,,,,,,,,2968,3075,,,0.961978,0.520113,0.951502,0.413311,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) fused,,,0.98257,0.760132,0.984579,0.753295,0.881979,0.933288,0.900813,0.979447,0.945366,0.993935,0.95935,1.96935,0.370145,1.892279,-0.077071,,,,,,,,,,,,,,,,,2968,3075,,,0.982511,0.759,0.98451,0.752416,3075,0.038548,0.115645,0.38521,0.039938
